Abbreviation	ModelSEED_rxnID	ModelSEED_cpdID	Bug_rxnID	Complete	HighFiber	Protein	Western
H2O	rxn05319	cpd00001	EX_cpd00001_e0[u]	-1000	0	0	0
H2O	rxn08687	cpd00001	EX_cpd00001_e0[u]	-1000	0	0	0
H2O	rxn09812	cpd00001	EX_cpd00001_e0[u]	-1000	0	0	0
ATP	rxn29318	cpd00002	EX_cpd00002_e0[u]	-1000	0	0	0
NAD	rxn13361	cpd00003	EX_cpd00003_e0[u]	-1000	0	0	0
NAD	rxn24116	cpd00003	EX_cpd00003_e0[u]	-1000	0	0	0
NAD	rxn33813	cpd00003	EX_cpd00003_e0[u]	-1000	0	0	0
NADH	rxn29785	cpd00004	EX_cpd00004_e0[u]	-1000	0	0	0
O2	rxn05468	cpd00007	EX_cpd00007_e0[u]	-1000	-1000	-1000	-1000
O2	rxn09032	cpd00007	EX_cpd00007_e0[u]	-1000	-1000	-1000	-1000
ADP	rxn29320	cpd00008	EX_cpd00008_e0[u]	-1000	0	0	0
CoA	rxn10832	cpd00010	EX_cpd00010_e0[u]	-1000	0	0	0
CO2	rxn05467	cpd00011	EX_cpd00011_e0[u]	-1000	0	0	0
CO2	rxn08238	cpd00011	EX_cpd00011_e0[u]	-1000	0	0	0
CO2	rxn09821	cpd00011	EX_cpd00011_e0[u]	-1000	0	0	0
PPi	rxn29733	cpd00012	EX_cpd00012_e0[u]	-1000	0	0	0
NH3	rxn05466	cpd00013	EX_cpd00013_e0[u]	-1000	0	0	0
NH3	rxn08987	cpd00013	EX_cpd00013_e0[u]	-1000	0	0	0
NH3	rxn29241	cpd00013	EX_cpd00013_e0[u]	-1000	0	0	0
NH3	rxn29242	cpd00013	EX_cpd00013_e0[u]	-1000	0	0	0
UDP	rxn29340	cpd00014	EX_cpd00014_e0[u]	-1000	0	0	0
FAD	rxn29783	cpd00015	EX_cpd00015_e0[u]	-1000	0	0	0
S-Adenosyl-L-methionine	rxn29883	cpd00017	EX_cpd00017_e0[u]	-1000	0	0	0
AMP	rxn13227	cpd00018	EX_cpd00018_e0[u]	-1000	0	0	0
AMP	rxn29321	cpd00018	EX_cpd00018_e0[u]	-1000	0	0	0
Pyruvate	rxn10929	cpd00020	EX_cpd00020_e0[u]	-1000	0	0	0
Pyruvate	rxn29234	cpd00020	EX_cpd00020_e0[u]	-1000	0	0	0
Fe2+	rxn12420	cpd00021	EX_cpd00021_e0[u]	-1000	-1	-1	-1
L-Glutamate	rxn10917	cpd00023	EX_cpd00023_e0[u]	-1000	-0.18	-0.36	-0.18
2-Oxoglutarate	rxn10923	cpd00024	EX_cpd00024_e0[u]	-1000	0	0	0
2-Oxoglutarate	rxn30603	cpd00024	EX_cpd00024_e0[u]	-1000	0	0	0
UDP-glucose	rxn29897	cpd00026	EX_cpd00026_e0[u]	-1000	0	0	0
D-Glucose	rxn09679	cpd00027	EX_cpd00027_e0[u]	-1000	0	0	0
Heme	rxn09116	cpd00028	EX_cpd00028_e0[u]	-1000	-1	-1	-1
Heme	rxn10919	cpd00028	EX_cpd00028_e0[u]	-1000	-1	-1	-1
Heme	rxn34396	cpd00028	EX_cpd00028_e0[u]	-1000	-1	-1	-1
Acetate	rxn10904	cpd00029	EX_cpd00029_e0[u]	-1000	0	0	0
Acetate	rxn28609	cpd00029	EX_cpd00029_e0[u]	-1000	0	0	0
Mn2+	rxn08947	cpd00030	EX_cpd00030_e0[u]	-1000	-1	-1	-1
GDP	rxn29335	cpd00031	EX_cpd00031_e0[u]	-1000	0	0	0
Oxaloacetate	rxn23651	cpd00032	EX_cpd00032_e0[u]	-1000	0	0	0
Glycine	rxn05218	cpd00033	EX_cpd00033_e0[u]	-1000	-0.45	-0.9	-0.45
Glycine	rxn13111	cpd00033	EX_cpd00033_e0[u]	-1000	-0.45	-0.9	-0.45
Zn2+	rxn09391	cpd00034	EX_cpd00034_e0[u]	-1000	-1	-1	-1
Zn2+	rxn28559	cpd00034	EX_cpd00034_e0[u]	-1000	-1	-1	-1
L-Alanine	rxn10921	cpd00035	EX_cpd00035_e0[u]	-1000	-0.3	-0.6	-0.3
L-Alanine	rxn13221	cpd00035	EX_cpd00035_e0[u]	-1000	-0.3	-0.6	-0.3
Succinate	rxn10952	cpd00036	EX_cpd00036_e0[u]	-1000	0	0	0
Succinate	rxn31086	cpd00036	EX_cpd00036_e0[u]	-1000	0	0	0
UDP-N-acetylglucosamine	rxn29913	cpd00037	EX_cpd00037_e0[u]	-1000	0	0	0
GTP	rxn12663	cpd00038	EX_cpd00038_e0[u]	-1000	0	0	0
L-Lysine	rxn10834	cpd00039	EX_cpd00039_e0[u]	-1000	-0.15	-0.3	-0.15
Glyoxalate	rxn28610	cpd00040	EX_cpd00040_e0[u]	-1000	0	0	0
L-Aspartate	rxn10906	cpd00041	EX_cpd00041_e0[u]	-1000	-0.225	-0.45	-0.225
L-Aspartate	rxn13232	cpd00041	EX_cpd00041_e0[u]	-1000	-0.225	-0.45	-0.225
GSH	rxn10829	cpd00042	EX_cpd00042_e0[u]	-1000	0	0	0
UDP-galactose	rxn29910	cpd00043	EX_cpd00043_e0[u]	-1000	0	0	0
Adenosine 3-5-bisphosphate	rxn09665	cpd00045	EX_cpd00045_e0[u]	-1000	0	0	0
CMP	rxn29324	cpd00046	EX_cpd00046_e0[u]	-1000	0	0	0
Formate	rxn09682	cpd00047	EX_cpd00047_e0[u]	-1000	0	0	0
Formate	rxn09754	cpd00047	EX_cpd00047_e0[u]	-1000	0	0	0
Sulfate	rxn05238	cpd00048	EX_cpd00048_e0[u]	-1000	-1	-1	-1
L-Arginine	rxn10840	cpd00051	EX_cpd00051_e0[u]	-1000	-0.15	-0.3	-0.15
CTP	rxn29325	cpd00052	EX_cpd00052_e0[u]	-1000	0	0	0
L-Glutamine	rxn10928	cpd00053	EX_cpd00053_e0[u]	-1000	-0.18	-0.36	-0.18
L-Serine	rxn10999	cpd00054	EX_cpd00054_e0[u]	-1000	-0.3	-0.6	-0.3
L-Serine	rxn13110	cpd00054	EX_cpd00054_e0[u]	-1000	-0.3	-0.6	-0.3
Formaldehyde	rxn08462	cpd00055	EX_cpd00055_e0[u]	-1000	0	0	0
TPP	rxn32561	cpd00056	EX_cpd00056_e0[u]	-1000	0	0	0
TPP	rxn38725	cpd00056	EX_cpd00056_e0[u]	-1000	0	0	0
Cu2+	rxn05212	cpd00058	EX_cpd00058_e0[u]	-1000	-1	-1	-1
Cu2+	rxn08274	cpd00058	EX_cpd00058_e0[u]	-1000	-1	-1	-1
L-Methionine	rxn10976	cpd00060	EX_cpd00060_e0[u]	-1000	-0.18	-0.36	-0.18
UTP	rxn29342	cpd00062	EX_cpd00062_e0[u]	-1000	0	0	0
Ca2+	rxn29529	cpd00063	EX_cpd00063_e0[u]	-1000	0	0	0
Ornithine	rxn10824	cpd00064	EX_cpd00064_e0[u]	-1000	0	0	0
L-Tryptophan	rxn05222	cpd00065	EX_cpd00065_e0[u]	-1000	-0.081	-0.162	-0.081
L-Phenylalanine	rxn11018	cpd00066	EX_cpd00066_e0[u]	-1000	-0.099	-0.198	-0.099
H+	rxn11009	cpd00067	EX_cpd00067_e0[u]	-1000	0	0	0
H+	rxn34471	cpd00067	EX_cpd00067_e0[u]	-1000	0	0	0
L-Tyrosine	rxn10974	cpd00069	EX_cpd00069_e0[u]	-1000	-0.099	-0.198	-0.099
Acetaldehyde	rxn08033	cpd00071	EX_cpd00071_e0[u]	-1000	0	0	0
Acetaldehyde	rxn09700	cpd00071	EX_cpd00071_e0[u]	-1000	0	0	0
Acetaldehyde	rxn13212	cpd00071	EX_cpd00071_e0[u]	-1000	0	0	0
D-fructose-6-phosphate	rxn13638	cpd00072	EX_cpd00072_e0[u]	-1000	0	0	0
Urea	rxn05667	cpd00073	EX_cpd00073_e0[u]	-1000	0	0	0
Urea	rxn09369	cpd00073	EX_cpd00073_e0[u]	-1000	0	0	0
S	rxn10605	cpd00074	EX_cpd00074_e0[u]	-1000	0	0	0
Nitrite	rxn29054	cpd00075	EX_cpd00075_e0[u]	-1000	0	0	0
Nitrite	rxn29236	cpd00075	EX_cpd00075_e0[u]	-1000	0	0	0
Sucrose	rxn28594	cpd00076	EX_cpd00076_e0[u]	-1000	-0.03125	-0.078125	-0.14743391
Catechol	rxn12790	cpd00077	EX_cpd00077_e0[u]	-1000	0	0	0
D-glucose-6-phosphate	rxn13641	cpd00079	EX_cpd00079_e0[u]	-1000	0	0	0
Glycerol-3-phosphate	rxn11234	cpd00080	EX_cpd00080_e0[u]	-1000	0	0	0
