FileName 	ObjFunctionSpeciesA 	ObjFunctionSpeciesB 	GRSpeciesA 	GRSpeciesB
communityA_1156417_3_modelXA_717962_3_model.xml 	A_1156417_3_model 	A_717962_3_model 	24.8643143962 	115.803841398 
communityA_1156417_3_modelXA_717962_3_model.xml 	A_1156417_3_model 	A_717962_3_model 	Solo 	116.501461185 
communityA_1156417_3_modelXA_717962_3_model.xml 	A_1156417_3_model 	A_717962_3_model 30.7473760588 	Solo
communityA_1235835_3_modelXA_1000569_4_model.xml 	A_1235835_3_model 	A_1000569_4_model 	14.319507012 	11.3753074472 
communityA_1235835_3_modelXA_1000569_4_model.xml 	A_1235835_3_model 	A_1000569_4_model 	Solo 	13.6977201512 
communityA_1235835_3_modelXA_1000569_4_model.xml 	A_1235835_3_model 	A_1000569_4_model 17.5766940838 	Solo
communityA_1235835_3_modelXA_1156417_3_model.xml 	A_1235835_3_model 	A_1156417_3_model 	14.4569649904 	28.2196270762 
communityA_1235835_3_modelXA_1156417_3_model.xml 	A_1235835_3_model 	A_1156417_3_model 	Solo 	30.7473760588 
communityA_1235835_3_modelXA_1156417_3_model.xml 	A_1235835_3_model 	A_1156417_3_model 17.5766940838 	Solo
communityA_1235835_3_modelXA_1414720_3_model.xml 	A_1235835_3_model 	A_1414720_3_model 	11.440634358 	47.7606066484 
communityA_1235835_3_modelXA_1414720_3_model.xml 	A_1235835_3_model 	A_1414720_3_model 	Solo 	47.7606066484 
communityA_1235835_3_modelXA_1414720_3_model.xml 	A_1235835_3_model 	A_1414720_3_model 17.5766940838 	Solo
communityA_1235835_3_modelXA_742823_3_model.xml 	A_1235835_3_model 	A_742823_3_model 	17.5766940838 	79.8886235361 
communityA_1235835_3_modelXA_742823_3_model.xml 	A_1235835_3_model 	A_742823_3_model 	Solo 	79.8886235361 
communityA_1235835_3_modelXA_742823_3_model.xml 	A_1235835_3_model 	A_742823_3_model 17.5766940838 	Solo
communityA_1297617_3_modelXA_1313290_3_model.xml 	A_1297617_3_model 	A_1313290_3_model 	14.7062708447 	23.1158742152 
communityA_1297617_3_modelXA_1313290_3_model.xml 	A_1297617_3_model 	A_1313290_3_model 	Solo 	26.0904197678 
communityA_1297617_3_modelXA_1313290_3_model.xml 	A_1297617_3_model 	A_1313290_3_model 20.2845775868 	Solo
communityA_1297617_3_modelXA_525362_3_model.xml 	A_1297617_3_model 	A_525362_3_model 	18.168700371 	34.914414401 
communityA_1297617_3_modelXA_525362_3_model.xml 	A_1297617_3_model 	A_525362_3_model 	Solo 	35.7552301942 
communityA_1297617_3_modelXA_525362_3_model.xml 	A_1297617_3_model 	A_525362_3_model 20.2845775868 	Solo
communityA_1313290_3_modelXA_1000569_4_model.xml 	A_1313290_3_model 	A_1000569_4_model 	15.4935234727 	12.9111147214 
