Row number 	Query_Otu_ID 	Species_ID 	Percent_ID 	Similarity Group
0 	18 	657315.3 	100.00 	9
1 	37 	484018.6 	98.33 	9
2 	72 	1235835.3 	25.00 	12
3 	74 	742823.3 	100.00 	9
4 	109 	1414720.3 	25.22 	12
5 	112 	1156417.3 	90.64 	10
6 	150 	180332.3 	0.00 	12
7 	221 	717962.3 	99.16 	9
8 	243 	1297617.3 	91.85 	10
9 	253 	1367212.3 	97.24 	9
10 	310 	29354.3 	23.35 	12
11 	331 	1469948.3 	97.90 	9
12 	359 	1313290.3 	28.82 	12
13 	401 	742726.3 	92.61 	10
14 	405 	557855.3 	95.30 	9
15 	474 	1165092.3 	98.68 	9
16 	557 	525362.3 	100.00 	9
17 	632 	1000569.4 	94.42 	10
